ticker,company_name,volatility
NIFTY 50,NIFTY 50,Low
NKE,Nike Inc.,Low
BEL,BEL,Mid
BABA,Alibaba Group,Low
SBIN,SBIN,Low
NFLX,Netflix Inc.,Low
CIPLA,CIPLA,Low
DIS,Walt Disney Co.,Low
ICICIBANK,ICICIBANK,Low
XOM,ExxonMobil,Low
POWERGRID,POWERGRID,Mid
KO,Coca-Cola Co.,Low
ONGC,ONGC,Mid
AMZN,Amazon Inc.,Low
TATASTEEL,TATASTEEL,Mid
PEP,PepsiCo Inc.,Low
NTPC,NTPC,Mid
AAPL,Apple Inc.,Low
SUNPHARMA,SUNPHARMA,Low
XOM,ExxonMobil,Low
TRENT,TRENT,Mid
AMZN,Amazon Inc.,Low
DRREDDY,DRREDDY,Low
GOOGL,Alphabet Inc.,Low
TCS,TCS,Low
GOOGL,Alphabet Inc.,Low
TECHM,TECHM,Mid
INTC,Intel Corp.,Low
KOTAKBANK,KOTAKBANK,Low
GOOGL,Alphabet Inc.,Low
TATACONSUM,TATACONSUM,Mid
PFE,Pfizer Inc.,Low
AXISBANK,AXISBANK,Low
MSFT,Microsoft Corp.,Low
LT,LT,Mid
CSCO,Cisco Systems,Low
EICHERMOT,EICHERMOT,Mid
V,Visa Inc.,Low
BAJAJ-AUTO,BAJAJ-AUTO,Mid
MSFT,Microsoft Corp.,Low
ITC,ITC,Mid
AAPL,Apple Inc.,Low
NESTLEIND,NESTLEIND,Low
NVDA,NVIDIA Corp.,Low
M&M,M&M,Mid
TSLA,Tesla Inc.,Low
HDFCBANK,HDFCBANK,Low
INTC,Intel Corp.,Low
TITAN,TITAN,Mid
NVDA,NVIDIA Corp.,Low
COALINDIA,COALINDIA,Low
AMZN,Amazon Inc.,Low
HCLTECH,HCLTECH,Low
INTC,Intel Corp.,Low
ULTRACEMCO,ULTRACEMCO,Low
NFLX,Netflix Inc.,Low
BHARTIARTL,BHARTIARTL,Mid
AAPL,Apple Inc.,Low
BAJAJFINSV,BAJAJFINSV,Mid
WMT,Walmart Inc.,Low
HINDUNILVR,HINDUNILVR,Mid
PYPL,PayPal Holdings,Low
INFY,INFY,Mid
NFLX,Netflix Inc.,Low
APOLLOHOSP,APOLLOHOSP,Mid
PEP,PepsiCo Inc.,Low
BAJFINANCE,BAJFINANCE,Mid
IBM,IBM Corp.,Low
RELIANCE,RELIANCE,Mid
INTC,Intel Corp.,Low
ADANIENT,ADANIENT,Mid
NVDA,NVIDIA Corp.,Low
ADANIPORTS,ADANIPORTS,Mid
JPM,JPMorgan Chase & Co.,Low
BPCL,BPCL,Mid
MCD,McDonald's Corp.,Low
ASIANPAINT,ASIANPAINT,Mid
KO,Coca-Cola Co.,Low
JSWSTEEL,JSWSTEEL,Mid
ADBE,Adobe Inc.,Low
MARUTI,MARUTI,Mid
AAPL,Apple Inc.,Low
BRITANNIA,BRITANNIA,Mid
ADBE,Adobe Inc.,Low
GRASIM,GRASIM,Mid
NVDA,NVIDIA Corp.,Low
SBILIFE,SBILIFE,Mid
GOOGL,Alphabet Inc.,Low
WIPRO,WIPRO,Mid
NFLX,Netflix Inc.,Low
HINDALCO,HINDALCO,Mid
ADBE,Adobe Inc.,Low
INDUSINDBK,INDUSINDBK,High
BABA,Alibaba Group,Low
HDFCLIFE,HDFCLIFE,Mid
BABA,Alibaba Group,Low
TATAMOTORS,TATAMOTORS,High
MCD,McDonald's Corp.,Low
HEROMOTOCO,HEROMOTOCO,Mid
TSLA,Tesla Inc.,Low
SHRIRAMFIN,SHRIRAMFIN,High
WMT,Walmart Inc.,Low
